date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:20:05	20820/20820	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202019%2003:06:40%20GMT	https://bookwritingfounders.com/assets/images/img-1.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-1.jpg	(from https://bookwritingfounders.com/)
13:20:05	3690/3690	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/ghost-book-writing.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/ghost-book-writing.svg	(from https://bookwritingfounders.com/)
13:20:06	20175/20175	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202019%2003:06:34%20GMT	https://bookwritingfounders.com/assets/images/img-2.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-2.jpg	(from https://bookwritingfounders.com/)
13:20:06	6217/6217	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/editing.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/editing.svg	(from https://bookwritingfounders.com/)
13:20:06	17806/17806	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-4.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-4.jpg	(from https://bookwritingfounders.com/)
13:20:07	4822/4822	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/book-publishing.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/book-publishing.svg	(from https://bookwritingfounders.com/)
13:20:07	21233/21233	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202019%2003:34:12%20GMT	https://bookwritingfounders.com/assets/images/img-5.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-5.jpg	(from https://bookwritingfounders.com/)
13:20:07	3614/3614	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/ebook-writing.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/ebook-writing.svg	(from https://bookwritingfounders.com/)
13:20:08	12767/12767	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Sep%202019%2019:11:06%20GMT	https://bookwritingfounders.com/assets/images/img-6.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-6.jpg	(from https://bookwritingfounders.com/)
13:20:08	3429/3429	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/book-marketing.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/book-marketing.svg	(from https://bookwritingfounders.com/)
13:20:08	20926/20926	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202019%2003:52:38%20GMT	https://bookwritingfounders.com/assets/images/img-7.jpg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/img-7.jpg	(from https://bookwritingfounders.com/)
13:20:09	4729/4729	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Feb%202020%2021:24:50%20GMT	https://bookwritingfounders.com/assets/images/services/copyright-protection.svg	C:/My%20Web%20Sites/bookwritingfounders/bookwritingfounders.com/assets/images/services/copyright-protection.svg	(from https://bookwritingfounders.com/)
